Date,800,1400,1800,,,,,,,,,,,,,,,
1,29.86,29.89,29.9,,,,,,,,,,,,,,,
2,29.99,30,29.96,,,,,,,,,,,,,,,
3,29.64,29.65,29.62,,,,,,,,,,,,,,,
4,29.31,29.58,29.79,,,,,,,,,,,,,,,
5,30.16,30.24,30.26,,,,,,,,,,,,,,,
6,30.23,30.11,30.06,,,,,,,,,,,,,,,
7,29.82,29.79,29.77,,,,,,,,,,,,,,,
8,29.8,29.72,29.61,,,,,,,,,,,,,,,
9,29.57,29.41,29.26,,,,,,,,,,,,,,,
10,29.26,29.26,29.3,,,,,,,,,,,,,,,
11,29.32,29.33,29.37,,,,,,,,,,,,,,,
12,29.52,29.61,29.67,,,,,,,,,,,,,,,
13,29.81,29.81,29.84,,,,,,,,,,,,,,,
14,29.89,29.9,29.9,,,,,,,,,,,,,,,
15,29.88,29.87,29.87,,,,,,,,,,,,,,,
16,29.79,29.78,29.79,,,,,,,,,,,,,,,
17,29.87,29.94,29.98,,,,,,,,,,,,,,,
18,30.03,30.07,30.08,,,,,,,,,,,,,,,
19,30.09,30,29.94,,,,,,,,,,,,,,,
20,30.08,30.13,30.12,,,,,,,,,,,,,,,
21,30.18,30.02,30.2,,,,,,,,,,,,,,,
22,30.1,30.06,30.06,,,,,,,,,,,,,,,
23,30.16,30.17,30.17,,,,,,,,,,,,,,,
24,30.13,30.13,30.1,,,,,,,,,,,,,,,
25,30.05,30.03,30,,,,,,,,,,,,,,,
26,29.96,29.98,29.99,,,,,,,,,,,,,,,
27,30.05,30.05,30.01,,,,,,,,,,,,,,,
28,29.98,29.95,29.96,,,,,,,,,,,,,,,
29,29.98,29.94,29.92,,,,,,,,,,,,,,,
30,29.86,29.8,29.75,,,,,,,,,,,,,,,
31,29.43,29.43,29.31,,,,,,,,,,,,,,,
