,800,1400,1800
1900/07/01,29.71,29.74,29.71
1900/07/02,29.66,29.7,29.72
1900/07/03,29.88,29.99,30.05
1900/07/04,30.2,30.25,30.23
1900/07/05,30.18,30.21,30.17
1900/07/06,30.19,30.23,30.24
1900/07/07,30.26,30.3,30.32
1900/07/08,30.32,30.34,30.34
1900/07/09,30.3,30.29,30.24
1900/07/10,30.08,29.99,29.94
1900/07/11,29.85,29.81,29.78
1900/07/12,29.75,29.78,29.83
1900/07/13,29.83,29.82,29.78
1900/07/14,29.91,29.99,30.01
1900/07/15,29.96,30.01,30.01
1900/07/16,30.05,30.12,30.15
1900/07/17,30.29,30.33,30.33
1900/07/18,30.2,30.15,30.15
1900/07/19,29.98,29.86,29.81
1900/07/20,29.88,29.9,29.9
1900/07/21,30.07,30.13,30.14
1900/07/22,30.13,30.17,30.16
1900/07/23,30.17,30.16,30.14
1900/07/24,30.06,30,29.99
1900/07/25,29.93,29.98,29.98
1900/07/26,30.06,30.09,30.08
1900/07/27,29.95,29.98,29.79
1900/07/28,29.76,29.78,29.79
1900/07/29,29.8,29.87,29.87
1900/07/30,30,30.07,30.1
1900/07/31,30.11,30.09,30.03
